query_learning_mode,query_objective,adaptation_target,trainable_module,trainable_parameter_count,shot,step,target_eval_repeats,target_episode_repeats,target_episode_policy,target_support_weighting,target_split_policy,target_support_bank_size,target_support_negative_pool,target_support_negative_sampler,target_support_selection_policy,evaluated_target_episodes,evaluated_query_examples,query_candidate_pool_size,support_candidate_pool_size,objective_loss,objective_accuracy,task_score,task_metric_name,task_proxy_score,task_proxy_name,task_margin,preceding_support_grad_norm,preceding_support_update_max_abs,preceding_support_update_l2,query_loss,query_accuracy
meta_trained,continuation_retrieval,q_only,reader.queries,256,0,0,3,3,aggregate_support,uniform,random,5.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,29.0,1.1031466987397935,0.3333333333333333,0.5555555555555556,accuracy,0.5033983786900839,gold_choice_probability,0.013577916452454198,0.0,0.0,0.0,1.1031466987397935,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,0,3,3,aggregate_support,uniform,random,5.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,29.0,1.1031466987397935,0.3333333333333333,0.5555555555555556,accuracy,0.5033983786900839,gold_choice_probability,0.013577916452454198,0.0,0.0,0.0,1.1031466987397935,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,1,3,3,aggregate_support,uniform,random,5.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,29.0,1.1031431754430134,0.3333333333333333,0.5555555555555556,accuracy,0.503422369559606,gold_choice_probability,0.013673996190643974,0.02791502774585163,0.0009158933535218239,0.005583005914075581,1.1031431754430134,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,2,3,3,aggregate_support,uniform,random,5.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,29.0,1.103139599164327,0.3333333333333333,0.5555555555555556,accuracy,0.5034463802973429,gold_choice_probability,0.013770280742189951,0.027937834391790223,0.0009170500561594963,0.005587566995553273,1.103139599164327,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,3,3,3,aggregate_support,uniform,random,5.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,29.0,1.10313614209493,0.3333333333333333,0.5555555555555556,accuracy,0.5034704473283556,gold_choice_probability,0.013866636746873457,0.02796068696991373,0.000918208621442318,0.005592138018513085,1.10313614209493,0.3333333333333333
