query_learning_mode,query_objective,adaptation_target,trainable_module,trainable_parameter_count,shot,step,target_eval_repeats,target_episode_repeats,target_episode_policy,target_support_weighting,target_split_policy,target_support_bank_size,target_support_negative_pool,target_support_negative_sampler,target_support_selection_policy,evaluated_target_episodes,evaluated_query_examples,query_candidate_pool_size,support_candidate_pool_size,objective_loss,objective_accuracy,task_score,task_metric_name,task_proxy_score,task_proxy_name,task_margin,preceding_support_grad_norm,preceding_support_update_max_abs,preceding_support_update_l2,query_loss,query_accuracy
meta_trained,continuation_retrieval,q_only,reader.queries,256,0,0,3,3,aggregate_support,uniform,random,4.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,28.0,1.1040204366048176,0.3333333333333333,0.4444444444444444,accuracy,0.4985546436574724,gold_choice_probability,-0.005641475733783511,0.0,0.0,0.0,1.1040204366048176,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,0,3,3,aggregate_support,uniform,random,4.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,28.0,1.1040204366048176,0.3333333333333333,0.4444444444444444,accuracy,0.4985546436574724,gold_choice_probability,-0.005641475733783511,0.0,0.0,0.0,1.1040204366048176,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,1,3,3,aggregate_support,uniform,random,4.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,28.0,1.1040139595667522,0.3333333333333333,0.4444444444444444,accuracy,0.4985768364535438,gold_choice_probability,-0.00555244791838858,0.024530258234592553,0.0006387475878000259,0.004906051624672645,1.1040139595667522,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,2,3,3,aggregate_support,uniform,random,4.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,28.0,1.1040074692832098,0.3333333333333333,0.4444444444444444,accuracy,0.4985990458064609,gold_choice_probability,-0.005463374157746632,0.024546660114943702,0.0006390176713466644,0.004909332904818361,1.1040074692832098,0.3333333333333333
meta_trained,continuation_retrieval,q_only,reader.queries,256,3,3,3,3,aggregate_support,uniform,random,4.0,source_plus_support_bank,hard_by_current_model,plain,3,27,3.0,28.0,1.1040010187360976,0.3333333333333333,0.4444444444444444,accuracy,0.49862131145265365,gold_choice_probability,-0.005374118685722349,0.024563084219125373,0.0006392858922481537,0.004912617362201555,1.1040010187360976,0.3333333333333333
